,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,mogadishu,2.0371,45.3438,298.3,86,11,8.68,SO,1626107517
290,faanui,-16.4833,-151.75,299.99,73,28,9.61,PF,1626107476
291,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
292,vaini,-21.2,-175.2,295.24,100,40,1.54,TO,1626107466
293,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
294,hasaki,35.7333,140.8333,296.37,93,100,3.52,JP,1626107501
295,hobart,-42.8794,147.3294,284.41,80,100,1.79,AU,1626107464
296,kavieng,-2.5744,150.7967,300.98,78,51,7.26,PG,1626107471
297,kamoke,31.9744,74.2244,299.22,60,88,5.04,PK,1626107517
298,aklavik,68.2191,-135.0107,286.61,49,45,4.46,CA,1626107468
299,kodino,63.7198,39.6447,295.5,76,62,2.27,RU,1626107518
300,san quintin,30.4833,-115.95,295.03,70,37,3.79,MX,1626107518
301,barrow,71.2906,-156.7887,280.16,76,20,6.69,US,1626107402
302,fort nelson,58.8053,-122.7002,289.92,67,40,1.54,CA,1626107404
303,lasa,46.6166,10.7002,301.1,78,46,2.9,IT,1626107518
304,villa maria,-32.4075,-63.2402,291.7,62,85,1.87,AR,1626107519
305,ribeira grande,38.5167,-28.7,295.37,68,20,8.23,PT,1626107473
306,saint george,37.1041,-113.5841,310.41,26,1,0.89,US,1626107404
307,kirakira,-10.4544,161.9205,299.18,86,78,3.57,SB,1626107519
308,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
309,hermanus,-34.4187,19.2345,283.6,70,91,11.41,ZA,1626107462
310,hobart,-42.8794,147.3294,284.41,80,100,1.79,AU,1626107464
311,punta arenas,-53.15,-70.9167,276.16,87,75,13.89,CL,1626107407
312,puerto ayora,-0.7393,-90.3518,297.13,88,43,1.79,EC,1626107474
313,saint-philippe,-21.3585,55.7679,293.92,81,28,6.85,RE,1626107501
314,subiaco,41.9254,13.0941,305.54,54,5,1.96,IT,1626107520
315,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
316,busselton,-33.65,115.3333,287.06,79,66,12.54,AU,1626107463
317,cidreira,-30.1811,-50.2056,292.46,66,37,4.66,BR,1626107520
318,mataura,-46.1927,168.8643,277.44,97,100,0.86,NZ,1626107520
319,puerto ayora,-0.7393,-90.3518,297.13,88,43,1.79,EC,1626107521
320,sur,22.5667,59.5289,303.35,69,88,3.12,OM,1626107521
321,port alfred,-33.5906,26.891,291.9,65,60,10.8,ZA,1626107521
322,tautira,-17.7333,-149.15,296.16,79,44,8.99,PF,1626107522
323,mahuva,21.0914,71.7622,301.67,79,100,7.07,IN,1626107522
324,bambous virieux,-20.3428,57.7575,293.29,88,75,8.23,MU,1626107522
325,oktyabrskoye,43.0645,44.7417,298.23,57,20,3.0,RU,1626107523
326,jamestown,42.097,-79.2353,298.87,90,90,3.58,US,1626107259
327,aberdeen,57.1437,-2.0981,293.98,87,75,4.12,GB,1626106939
328,hambantota,6.1241,81.1185,299.74,80,65,7.86,LK,1626107523
329,sitka,57.0531,-135.33,289.09,63,90,6.17,US,1626107524
330,cap malheureux,-19.9842,57.6142,293.42,81,18,3.13,MU,1626107524
331,new norfolk,-42.7826,147.0587,284.22,81,100,0.89,AU,1626107524
332,bartica,6.4,-58.6167,297.33,85,100,1.55,GY,1626107525
333,nouadhibou,20.931,-17.0347,299.14,73,27,6.69,MR,1626107525
334,sistranda,63.7256,8.834,292.13,77,27,2.19,NO,1626107525
335,constitucion,-35.3333,-72.4167,284.92,51,0,1.47,CL,1626107336
336,tasiilaq,65.6145,-37.6368,285.24,94,100,5.08,GL,1626107525
337,nhulunbuy,-12.2333,136.7667,298.49,73,90,5.66,AU,1626107526
